date,bike_rides_daily,avgTemp
2022-01-01,20428,11.65
2022-01-02,43009,8.9
2022-01-03,33189,-1.35
2022-01-04,36842,-3.0
2022-01-05,34230,3.9000000000000004
2022-01-06,44787,3.05
2022-01-07,17401,-1.3499999999999999
2022-01-08,24455,-3.8
2022-01-09,21479,1.4000000000000001
2022-01-10,34727,0.050000000000000266
2022-01-11,26824,-6.800000000000001
2022-01-12,40568,-1.0999999999999996
2022-01-13,50572,5.0
2022-01-14,45714,0.04999999999999982
2022-01-15,22839,-9.05
2022-01-16,20930,-4.65
2022-01-17,29084,3.9000000000000004
2022-01-18,42935,0.30000000000000004
2022-01-19,54011,3.6500000000000004
2022-01-20,33928,1.15
2022-01-21,33598,-7.7
2022-01-22,31969,-6.05
2022-01-23,32967,-0.75
2022-01-24,41488,-0.5
2022-01-25,50692,1.7499999999999998
2022-01-26,42005,-4.35
2022-01-27,43830,-4.1
2022-01-28,34871,-0.8
2022-01-29,2848,-6.3
2022-01-30,9486,-7.1
2022-01-31,22349,-3.25
2022-02-01,29338,-1.35
2022-02-02,41947,4.15
2022-02-03,26568,8.35
2022-02-04,20309,5.35
2022-02-05,29638,-4.9
2022-02-06,28887,-4.6
2022-02-07,30717,0.8999999999999999
2022-02-08,51893,3.6
2022-02-09,56007,3.0999999999999996
2022-02-10,61937,7.5
2022-02-11,64614,8.6
2022-02-12,68575,10.3
2022-02-13,20384,0.8999999999999999
2022-02-14,34198,-6.300000000000001
2022-02-15,40550,-4.9
2022-02-16,53683,3.6500000000000004
2022-02-17,67432,14.7
2022-02-18,47038,7.25
2022-02-19,32450,-0.25
2022-02-20,31051,-1.9
2022-02-21,52366,6.4
2022-02-22,36459,9.450000000000001
2022-02-23,66325,10.85
2022-02-24,44725,0.04999999999999993
2022-02-25,30412,0.8999999999999999
2022-02-26,41415,-0.75
2022-02-27,42805,3.4000000000000004
2022-02-28,45636,-0.5
2022-03-01,56019,4.2
2022-03-02,67108,7.75
2022-03-03,55408,2.3000000000000003
2022-03-04,49704,-1.6
2022-03-05,51358,3.9
2022-03-06,54531,13.05
2022-03-07,67882,16.65
2022-03-08,62178,6.95
2022-03-09,28088,2.8
2022-03-10,66071,5.6
2022-03-11,69316,8.600000000000001
2022-03-12,19628,2.3000000000000003
2022-03-13,30833,-1.9
2022-03-14,63206,6.95
2022-03-15,78946,13.9
2022-03-16,81449,14.149999999999999
2022-03-17,50004,9.45
2022-03-18,92837,16.65
2022-03-19,77861,15.25
2022-03-20,65417,11.950000000000001
2022-03-21,73209,11.7
2022-03-22,75235,10.25
2022-03-23,60865,6.35
2022-03-24,45793,5.800000000000001
2022-03-25,74873,11.15
2022-03-26,62151,8.649999999999999
2022-03-27,45625,2.8499999999999996
2022-03-28,38135,-2.1500000000000004
2022-03-29,48426,-0.5
2022-03-30,61254,3.3500000000000005
2022-03-31,72625,13.049999999999999
2022-04-01,68479,11.100000000000001
2022-04-02,73254,7.75
2022-04-03,37164,6.65
2022-04-04,68902,8.049999999999999
2022-04-05,72629,10.55
2022-04-06,48443,9.2
2022-04-07,35322,9.7
2022-04-08,88195,13.850000000000001
2022-04-09,67329,10.55
2022-04-10,57144,7.8
2022-04-11,75355,10.25
2022-04-12,93575,16.1
2022-04-13,98764,17.25
2022-04-14,90635,20.0
2022-04-15,99636,16.1
2022-04-16,82188,14.75
2022-04-17,54110,7.8
2022-04-18,55811,8.049999999999999
2022-04-19,58873,6.95
2022-04-20,85294,10.6
2022-04-21,77520,10.85
2022-04-22,97494,16.4
2022-04-23,94585,14.45
2022-04-24,83406,13.05
2022-04-25,72682,11.1
2022-04-26,74947,13.35
2022-04-27,82446,9.7
2022-04-28,78531,9.4
2022-04-29,87089,11.1
2022-04-30,101537,13.35
2022-05-01,94657,14.450000000000001
2022-05-02,54536,11.95
2022-05-03,92564,13.649999999999999
2022-05-04,79594,14.15
2022-05-05,110355,18.3
2022-05-06,35170,12.75
2022-05-07,20557,8.6
2022-05-08,62745,10.8
2022-05-09,93995,14.700000000000001
2022-05-10,104600,16.7
2022-05-11,107079,17.799999999999997
2022-05-12,110862,19.15
2022-05-13,95861,18.05
2022-05-14,79812,18.9
2022-05-15,108477,20.0
2022-05-16,79295,20.0
2022-05-17,117412,19.45
2022-05-18,117596,17.5
2022-05-19,90207,15.549999999999999
2022-05-20,85189,16.700000000000003
2022-05-21,115215,24.450000000000003
2022-05-22,103604,26.95
2022-05-23,101563,19.450000000000003
2022-05-24,104949,16.65
2022-05-25,114182,16.4
2022-05-26,111106,16.65
2022-05-27,89185,22.5
2022-05-28,82607,20.25
2022-05-29,101235,20.0
2022-05-30,100732,23.049999999999997
2022-05-31,100360,26.1
2022-06-01,88070,18.9
2022-06-02,98712,21.4
2022-06-03,120876,20.549999999999997
2022-06-04,127507,21.4
2022-06-05,115902,19.45
2022-06-06,110255,21.95
2022-06-07,103639,21.4
2022-06-08,123906,23.35
2022-06-09,115009,22.75
2022-06-10,122508,21.1
2022-06-11,115603,21.1
2022-06-12,90287,19.7
2022-06-13,111525,24.7
2022-06-14,123640,23.6
2022-06-15,127915,23.6
2022-06-16,102031,18.9
2022-06-17,119656,25.85
2022-06-18,108577,19.15
2022-06-19,105636,17.5
2022-06-20,114193,19.75
2022-06-21,99400,21.95
